Bank_Name,Interest_Rate,Term,Minimum_Investment,Risk_Level
State Bank of India (SBI),6.12,3,5000,Medium
HDFC Bank,7.85,2,1000,Medium
ICICI Bank,7.2,5,5000,Medium
Punjab National Bank (PNB),6.8,5,20000,Medium
Axis Bank,5.47,3,20000,Medium
Kotak Mahindra Bank,5.47,5,10000,Low
Bank of Baroda (BoB),5.17,5,20000,High
Bank of Baroda (BoB),7.6,1,10000,Medium
IDFC First Bank,6.8,3,20000,Medium
Yes Bank,7.12,10,1000,Medium
IndusInd Bank,5.06,3,20000,Medium
Federal Bank,7.91,10,10000,Medium
RBL Bank,7.5,1,10000,Medium
Bandhan Bank ,5.64,2,5000,High
AU Small Finance Bank,5.55,5,1000,High
Ujjivan Small Finance Bank,5.55,1,20000,Medium
Central Bank of India,5.91,5,5000,High
UCO Bank,6.57,2,20000,Low
Bank of Maharashtra,6.3,2,20000,Medium
Punjab & Sind Bank,5.87,1,5000,Low
